Subject,Condition,Trial index,Code block,Trial catches fish,Subject response,FINAL - total mechanisms,FINAL - total shape references,FINAL - abstract shape references,FINAL - concrete shape references,FINAL - total color references,FINAL - abstract color references,FINAL - concrete color references,FINAL - total purple dot references,FINAL - abstract purple dot references,FINAL - concrete purple dot references
user_1594612878367,Explain,1,1,1,It's bright and looks like a small fish.,1,0,0,0,1,1,0,0,0,0
user_1594612878367,Explain,2,1,0,"It looks like it would blend in with the water, and doesn't really have a shape of a small fish or food a fish would eat.",2,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,3,1,0,It's not the shape of anything naturally occurring in water.,1,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,4,1,1,It takes the shape of what may look like a small fish.,1,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,5,1,1,It's bright and eye catching.,1,0,0,0,1,1,0,0,0,0
user_1594612878367,Explain,6,1,0,Not naturally shaped like anything that would be in the water.,1,0,0,0,0,0,0,0,0,0
user_1594612878367,Explain,7,1,1,It doesn't look like anything so I'm unsure why. Maybe at this point it depends on it if has a circle somewhere in the larger shape (looks like an eye).,0,0,0,0,0,0,0,2,1,1
user_1594612878367,Explain,8,1,0,It doesn't look like an animal that would be found underwater.,1,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,1,1,1,it resembles a fish,1,0,0,0,0,0,0,0,0,0
user_1594784254125,Explain,2,1,0,"it is rounded at the ends, making it hard for fish to catch onto it.",1,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,3,1,0,the bottom portion is not pointed,0,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,4,1,1,the pointed end is appealing to fish,1,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,5,1,1,lures that have sharp ends catch fish,1,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,6,1,0,round end,0,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,7,1,1,when the lure has a sharp tip at the end fish are caught,1,1,1,0,0,0,0,0,0,0
user_1594784254125,Explain,8,1,0,round end,0,1,1,0,0,0,0,0,0,0
user_1594183430795,Describe,1,1,1,A red tear drop with a yellow downward facing triangle at the end of the tear. There there a purple circle in the top left of the tear,0,2,0,2,2,0,2,1,0,1
user_1594183430795,Describe,2,1,0,It is a green circle with a blue tear on the top of the circle,0,2,0,2,2,0,2,0,0,0
user_1594183430795,Describe,3,1,0,It is a yellow diamond with a green circle on the bottom. there is a purple tiny circle on the bottom left of the circle,0,2,0,2,2,0,2,1,0,1
user_1594183430795,Describe,4,1,1,it is a blue oval with a yellow star attached to the bottom. there is a purple dot on the top right of the star,0,2,0,2,2,0,2,1,0,1
user_1594183430795,Describe,5,1,1,It is a red circle with a green diamond on the bottom. there is a purple circle on both the circle and the diamond,0,2,0,2,2,0,2,2,0,2
user_1594183430795,Describe,6,1,0,It is a star with a red circle on the bottom,0,2,0,2,1,0,1,0,0,0
user_1594183430795,Describe,7,1,1,It is a tellow diamond with a blue diamond attached to the bottom. there is a purple circle on the top of the yellow diamond,0,2,0,2,2,0,2,1,0,1
user_1594183430795,Describe,8,1,0,It is a green triangle with a red oval attached to the bottom. they both have a purple circle to the left of the shape,0,2,0,2,2,0,2,2,0,2
user_1594249910833,Describe,1,1,1,red teardrop with a purple circle inside on the left hand side; inverted yellow triangle below it,0,2,0,2,2,0,2,1,0,1
user_1594249910833,Describe,2,1,0,green circle with a blue teardrop below it,0,2,0,2,2,0,2,0,0,0
user_1594249910833,Describe,3,1,0,yellow diamond with a green circle below it that has a purple circle inside on the right hand side,0,2,0,2,2,0,2,1,0,1
user_1594249910833,Describe,4,1,1,blue oval with a yellow star below it which has a purple dot inside of it,0,2,0,2,2,0,2,1,0,1
user_1594249910833,Describe,5,1,1,"red circle with a purple dot inside of it, green diamond with a purple dot inside of it below the circle",0,2,0,2,2,0,2,2,0,2
user_1594249910833,Describe,6,1,0,blue star with a red small circle below it,0,2,0,2,2,0,2,0,0,0
user_1594249910833,Describe,7,1,1,"yellow diamond with a purple dot inside of it near the top, blue diamond below the yellow diamond",0,2,0,2,2,0,2,1,0,1
user_1594249910833,Describe,8,1,0,"green inverted triangle with a purple dot inside on the upper left corner, below it is a red oval with a purple dot inside of it",0,2,0,2,2,0,2,2,0,2
user_1594761367006,Describe,1,1,1,A triangle attached to a waterdrop-shaped lure with a circle inside.,0,2,0,2,0,0,0,1,0,1
user_1594761367006,Describe,2,1,0,A waterdrop attached to a big circle,0,2,0,2,0,0,0,0,0,0
user_1594761367006,Describe,3,1,0,A small circle with a smaller circle inside attaching to a rhombus shape,0,2,0,2,0,0,0,1,0,1
user_1594761367006,Describe,4,1,1,A star-shaped lure with a small circle inside attached to an oval-shaped lure,0,2,0,2,0,0,0,1,0,1
user_1594761367006,Describe,5,1,1,A rhombus with a small circle inside it attaching to a larger circle with a small circle inside it,0,2,0,2,0,0,0,2,0,2
user_1594761367006,Describe,6,1,0,a star-shaped lure attached to a circle-shaped lure,0,2,0,2,0,0,0,0,0,0
user_1594761367006,Describe,7,1,1,a triangle attached to a larger triangle with a small circle inside,0,2,0,2,0,0,0,1,0,1
user_1594761367006,Describe,8,1,0,an oval-shaped lure with a smaller circle inside it attached to a triangle-shaped lure with a circle inside it,0,2,0,2,0,0,0,2,0,2
user_1595623184030,Describe,1,1,1,Yellow triangle with a red raindrop on top and a purple circle,0,2,0,2,2,0,2,1,0,1
user_1595623184030,Describe,2,1,0,Green circle with blue raindrop,0,2,0,2,2,0,2,0,0,0
user_1595623184030,Describe,3,1,0,Yellow diamond with a green circle and small purple circle,0,2,0,2,2,0,2,1,0,1
user_1595623184030,Describe,4,1,1,blue oval with yellow star with a small purple circle,0,2,0,2,2,0,2,1,0,1
user_1595623184030,Describe,5,1,1,red circle w purple circle and green diamond with purple circle,0,2,0,2,2,0,2,2,0,2
user_1595623184030,Describe,6,1,0,blue star with red circle,0,2,0,2,2,0,2,0,0,0
user_1595623184030,Describe,7,1,1,yellow diamond w purple circle and blue diamond,0,2,0,2,2,0,2,1,0,1
user_1595623184030,Describe,8,1,0,green triangle and red oval,0,2,0,2,2,0,2,0,0,0
user_1595530571067,Explain,1,1,1,the fish wasnt certain,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,2,1,0,the fish was certain,0,0,0,0,0,0,0,0,0,0
user_1595530571067,Explain,3,1,0,the bottom of the lure is round,0,1,1,0,0,0,0,0,0,0
user_1595530571067,Explain,4,1,1,the bottom of the lure is pointed,0,1,1,0,0,0,0,0,0,0
user_1595530571067,Explain,5,1,1,the bottom of the lure is pointed,0,1,1,0,0,0,0,0,0,0
user_1595530571067,Explain,6,1,0,the bottom of the lure is rounded,0,1,1,0,0,0,0,0,0,0
user_1595530571067,Explain,7,1,1,the bottom of the lure is pointed,0,1,1,0,0,0,0,0,0,0
user_1595530571067,Explain,8,1,0,the bottom of the lure is rounded,0,1,1,0,0,0,0,0,0,0
user_1595907288290,Describe,1,1,1,"red raindrop with a purple dot on the right upper side. under, there is a yellow cone.",0,2,0,2,2,0,2,1,0,1
user_1595907288290,Describe,2,1,0,"green circle on top,blue raindrop on bottom",0,2,0,2,2,0,2,0,0,0
user_1595907288290,Describe,3,1,0,"yellow diamond on top, and green olive with red dot on bottom",0,2,0,2,2,0,2,1,0,1
user_1595907288290,Describe,4,1,1,"blue oval on top, yellow sparkle with red dot on bottom",0,2,0,2,2,0,2,1,0,1
user_1595907288290,Describe,5,1,1,red circle on top with purple dot. green diamond on bottom with red dot.,0,2,0,2,2,0,2,2,0,2
user_1595907288290,Describe,6,1,0,"blue sparkle on top, red circle bottom",0,2,0,2,2,0,2,0,0,0
user_1595907288290,Describe,7,1,1,"yello diamond with purple dot on top, blue diamond on bottom",0,2,0,2,2,0,2,1,0,1
user_1595907288290,Describe,8,1,0,green triangle with purple dot on top and red oval with purple dot on bottom,0,2,0,2,2,0,2,2,0,2
user_1594916040377,Describe,1,1,1,"Red big one, a small purple, and a triangle yellow",0,2,0,2,2,0,2,1,0,1
user_1594916040377,Describe,2,1,0,Green ball with a drop like blue,0,2,0,2,2,0,2,0,0,0
user_1594916040377,Describe,3,1,0,Yellow spade with a green round and a purple dot,0,2,1,1,2,0,2,1,0,1
user_1594916040377,Describe,4,1,1,Big round blue with a star like yellow and a purple,0,2,1,1,2,0,2,1,0,1
user_1594916040377,Describe,5,1,1,"Two purple dots, a green spade and a big red round",0,2,1,1,2,0,2,2,0,2
user_1594916040377,Describe,6,1,0,A star like blue with red round,0,2,1,1,2,0,2,0,0,0
user_1594916040377,Describe,7,1,1,"A purple dot, two spades one is yellow another one is blue",0,2,0,2,2,0,2,1,0,1
user_1594916040377,Describe,8,1,0,A green triangle with two purple dots and a semi-shaped red,0,2,1,1,2,0,2,2,0,2
user_1595132974991,Describe,1,1,1,a yellow arrow pointing down with a red water droplet on top and a purple circle on the top left of the droplet,0,2,0,2,2,0,2,1,0,1
user_1595132974991,Describe,2,1,0,a large green circle with a blue water droplet coming from it,0,2,0,2,2,0,2,0,0,0
user_1595132974991,Describe,3,1,0,a yellow diamond with a smaller green circle under it with a small purple ball on the bottom right,0,2,0,2,2,0,2,1,0,1
user_1595132974991,Describe,4,1,1,a blue oval with a yellow plus sign on the bottom and a small circle near the middle of it,0,2,0,2,2,0,2,1,0,1
user_1595132974991,Describe,5,1,1,"a red cirle with a small purple cirlce ner the middl eon the right and under it, a green diamond with a purle cirlce on the right",0,2,0,2,2,0,2,2,0,2
user_1595132974991,Describe,6,1,0,a blue throwng star with a red cirlce under it,0,2,0,2,2,0,2,0,0,0
user_1595132974991,Describe,7,1,1,"a yellow diamon with a purle cirle at the top right, a blue diamond hanging form the yellow one",0,2,0,2,2,0,2,1,0,1
user_1595132974991,Describe,8,1,0,"a green upside down triange with a cirlce at the top left, a red vertical oval at the point with a cirlce in the middle towards the lft",0,2,0,2,2,0,2,2,0,2
user_1595110390402,Explain,1,1,1,"It slightly resembles a smaller fish, but rotated 90 degrees",1,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,2,1,0,It looks like an Alaia earring from the 2000's–even I wouldn't be tempted.,1,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,3,1,0,It doesn't replicate a fish shape.,1,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,4,1,1,It more closely resembles a fish's body shape.,1,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,5,1,1,It seems to follow the trend of having an inner circle with a bigger shape on top followed by a smaller shape on the bottom.,0,0,0,0,0,0,0,1,0,1
user_1595110390402,Explain,6,1,0,It looks too irregular to resemble food.,1,0,0,0,0,0,0,0,0,0
user_1595110390402,Explain,7,1,1,Because it follows the circle in the middle of the top shape followed by a smaller shape dangling off of the top shape.,0,0,0,0,0,0,0,1,0,1
user_1595110390402,Explain,8,1,0,The top shape has hard corners without a circle in the middle.,0,1,1,0,0,0,0,1,0,1
user_1594252556818,Explain,1,1,1,i dont know maybe because it has a small piece at the end where it can easily bite into,1,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,2,1,0,maybe because of the circular shape or color,0,1,1,0,0,0,0,0,0,0
user_1594252556818,Explain,3,1,0,shape,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,4,1,1,maybe cause the shape is long and is kinda similar to the teardrop's length,0,1,0,1,0,0,0,0,0,0
user_1594252556818,Explain,5,1,1,don't know,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,6,1,0,weird shape,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,7,1,1,not sure,0,0,0,0,0,0,0,0,0,0
user_1594252556818,Explain,8,1,0,weird shape,0,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,1,1,1,The red object lured the fish.,1,0,0,0,1,0,1,0,0,0
user_1595364343391,Describe,2,1,0,Some object will lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,3,1,0,The object did not lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,4,1,1,The object lured the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,5,1,1,The object did not lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,6,1,0,The object did not lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,7,1,1,The object will lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595364343391,Describe,8,1,0,The object will not lure the fish.,1,0,0,0,0,0,0,0,0,0
user_1595956244679,Describe,1,1,1,water drop shaped red lure with a yellow end,0,1,0,1,2,0,2,0,0,0
user_1595956244679,Describe,2,1,0,Large green circle upper part and a blue water drop shape lower part,0,2,0,2,2,0,2,0,0,0
user_1595956244679,Describe,3,1,0,Yellow square upper part and a green circle lower part,0,2,0,2,2,0,2,0,0,0
user_1595956244679,Describe,4,1,1,blue oval upper part and a yellow star-shaped lower part,0,2,0,2,2,0,2,0,0,0
user_1595956244679,Describe,5,1,1,Red circle upper part(including a purple dot) and green square lower part(also including a purple dot),0,2,0,2,2,0,2,2,0,2
user_1595956244679,Describe,6,1,0,blue star-shaped upper part and red circle lower part,0,2,0,2,2,0,2,0,0,0
user_1595956244679,Describe,7,1,1,yellow square upper part(including a purple dot) and a small blue square lower part,0,2,0,2,2,0,2,1,0,1
user_1595956244679,Describe,8,1,0,"green triangle upper part and red oval lower part, both including a purple dot",0,2,0,2,2,0,2,2,0,2
user_1594654000980,Explain,1,1,1,"The end point was sharp and it might have stabbed the fish when it gets closer or did not see it, thus catching the fish successfully.",1,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,2,1,0,"Both of the lures were limitedly attached to each other and it might have not remained intact when under the water waves, thus not able to catch the fish.",1,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,3,1,0,"Again, both of the lures were not well attached to each other.",1,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,4,1,1,"So...not attaching well to each other might not have been the cause. This combination seems to be as the same length as the first combination and longer than the previous two that did not catch the fish. Thus, length might be the reason.",0,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,5,1,1,Now... length might not be the ost important reason anymore. It looks like so far the combination that helped catch the fish were either long and comprised of three lures or shorter but comprised of four lures.,0,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,6,1,0,Because it was a combination of only 2 lures and both of them slightly attached to each other.,0,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,7,1,1,It might be because both of the major lures were the same shape.,1,0,0,0,0,0,0,0,0,0
user_1594654000980,Explain,8,1,0,I don't know. All of my hypotheses were wrong.,0,0,0,0,0,0,0,0,0,0
user_1594350855546,Describe,1,1,1,A teardrop shaped hook with a triangle base.,0,2,0,2,0,0,0,0,0,0
user_1594350855546,Describe,2,1,0,A circular shaped lure with a teardrop bottom will not hook a fish since there is no sharp point for it to hook on to.,1,2,0,2,0,0,0,0,0,0
user_1594350855546,Describe,3,1,0,A diamond shaped hook with a circular bottom.,0,2,1,1,0,0,0,0,0,0
user_1594350855546,Describe,4,1,1,An oval shaped hook with a four pointed star base.,0,2,0,2,0,0,0,0,0,0
user_1594350855546,Describe,5,1,1,A circular shaped hook with a diamond base.,0,2,1,1,0,0,0,0,0,0
user_1594350855546,Describe,6,1,0,A four pointed star hook with a circular base.,0,2,0,2,0,0,0,0,0,0
user_1594350855546,Describe,7,1,1,A two diamond hook.,0,2,0,2,0,0,0,0,0,0
user_1594350855546,Describe,8,1,0,A triangle top hook with an oval shaped base.,0,2,0,2,0,0,0,0,0,0
user_1595914740031,Describe,1,1,1,"Large red top with a purple dot on the middle left, with an orange upside down triangle at the bottom",0,1,0,1,2,0,2,1,0,1
user_1595914740031,Describe,2,1,0,Green circle with a blue teardrop on the bottom,0,2,0,2,2,0,2,0,0,0
user_1595914740031,Describe,3,1,0,"Slanted yellow square, with a green circle (that has a red dot on the bottom right) on the bottom",0,2,0,2,2,0,2,1,0,1
user_1595914740031,Describe,4,1,1,Blue oval with a 4 sided star that has a red dot in the middle on the bottom,0,2,0,2,1,0,1,1,0,1
user_1595914740031,Describe,5,1,1,"Red circle with a purple dot close to the center, with a green rotated square that has a red dot close to the center on the bottom",0,2,0,2,2,0,2,2,0,2
user_1595914740031,Describe,6,1,0,4 sided blue star with a red circle on the bottom,0,2,0,2,2,0,2,0,0,0
user_1595914740031,Describe,7,1,1,"Yellow rotated square with a purple circle on the top right, with a blue rotated square on the bottom",0,2,0,2,2,0,2,1,0,1
user_1595914740031,Describe,8,1,0,"Green upside down triangle with a purple dot at the top left, with a red oval with a purple dot close to the middle on the bottom",0,2,0,2,2,0,2,2,0,2
user_1595891251893,Explain,1,1,1,it resembles a smaller fish,1,0,0,0,0,0,0,0,0,0
user_1595891251893,Explain,2,1,0,It doesn't look like a fish,1,0,0,0,0,0,0,0,0,0
user_1595891251893,Explain,3,1,0,it's an abstarct shape that doesn't resemble a fish,1,0,0,0,0,0,0,0,0,0
user_1595891251893,Explain,4,1,1,It looks more like a fish and it has brighter colors,1,0,0,0,1,1,0,0,0,0
user_1595891251893,Explain,5,1,1,It has bright colors and spots that make it resemble a fish's eye.,1,0,0,0,1,1,0,2,1,1
user_1595891251893,Explain,6,1,0,It doesn't look like a fish at all,1,0,0,0,0,0,0,0,0,0
user_1595891251893,Explain,7,1,1,the purple spot makes it look like a fish with an eye.,1,0,0,0,0,0,0,2,1,1
user_1595891251893,Explain,8,1,0,The shape doesn't look like a normal fish's shape,1,0,0,0,0,0,0,0,0,0
user_1595926140123,Describe,1,1,1,"A lure with the colors red, purple, and yellow. The yellow is a cone at the bottom of the lure, the red is an upside down ice-cream looking shape, and the purple is a dot on the left side of the red shape. The overall shape of the lure is pointy at each end--top and bottom.",0,2,0,2,2,0,2,1,0,1
user_1595926140123,Describe,2,1,0,"This lure has colors green and blue. The green part looks like a circle, and the blue part looks like a waterdrop that hangs at the bottom end of the green part.",0,2,0,2,2,0,2,0,0,0
user_1595926140123,Describe,3,1,0,"There are yellow, green, and violet colors in the lure. The yellow part is in a diamond shape, and the green part is a circle attached at the bottom of the diamond. The magenta part is a little dot at the bottom right edge of the green circle.",0,2,0,2,2,0,2,1,0,1
user_1595926140123,Describe,4,1,1,"A star-looking shape is attached at the bottom end of a vertical oval, and there is a purplish dot on the star.",0,2,0,2,0,0,0,1,0,1
user_1595926140123,Describe,5,1,1,A diamond is attached on a bigger circle. There are two dots on each shape in purple.,0,2,0,2,0,0,0,2,0,2
user_1595926140123,Describe,6,1,0,A red circle is attached at the bottom of a bigger blue star.,0,2,0,2,2,0,2,0,0,0
user_1595926140123,Describe,7,1,1,A blue diamond is attached at the bottom of a bigger yellow diamond with a purple dot,0,2,0,2,2,0,2,1,0,1
user_1595926140123,Describe,8,1,0,A red oval with a dot is attached at the bottom of an upside down green triangle also with a dot,0,2,0,2,2,0,2,2,0,2
user_1594755557485,Explain,1,1,1,"red, big",0,0,0,0,1,0,1,0,0,0
user_1594755557485,Explain,2,1,0,green blue round,0,1,1,0,2,0,2,0,0,0
user_1594755557485,Explain,3,1,0,small round bottom purple dot,0,1,1,0,0,0,0,1,0,1
user_1594755557485,Explain,4,1,1,purple dot not round bottom,0,1,1,0,0,0,0,1,0,1
user_1594755557485,Explain,5,1,1,purple dot not round bottom red,0,1,1,0,1,0,1,1,0,1
